"7312","220704004-38","20735"
"7313","220619043-20","20735"
"7764","230325020-32","15400"
"7765","230325020-34","15400"
"25106","240107001-279","11211.75"
"25134","240413001-499","5456.31"
"25135","240315001-1679","5390.21"
"25136","240315001-1131","5390.21"
"25137","240315001-1747","5390.21"
"25138","240315001-1750","5390.21"
"25139","240211001-126","5207.82"
"25140","240325001-994","5341.22"
"25142","240214018-700","5456.31"
"25143","240325001-892","5492.3"
"25144","240214018-686","5456.31"
"25145","240315001-1481","5390.21"
"25146","240325001-252","5341.22"
"25147","240325001-910","5341.22"
"25148","240315001-1478","5390.21"
"25149","240325001-922","5341.22"
"25150","240315001-1463","5390.21"
"25151","240315001-1686","5390.21"
"25152","240315001-1682","5390.21"
"25153","240214018-2055","5456.31"
"25154","240315001-1676","5390.21"
"25155","240315001-1178","5390.21"
"25156","240413001-664","5456.31"
"25157","240211001-6","5207.82"
"25158","240211001-152","5207.82"
"25159","240325001-221","5492.3"
"25160","240413001-731","5456.31"
"25161","240323001-264","5492.3"
"25162","240323001-40","5492.3"
"25163","240413001-871","5456.31"
"25164","240325001-399","5341.22"
"25165","240211001-98","5207.82"
"25166","240211001-534","5207.82"
"25167","240325001-105","5341.22"
"25168","240325001-136","5341.22"
"25169","240211001-766","5207.82"
"25170","240323001-974","5492.3"
"25171","240323001-125","5492.3"
"25172","240325001-758","5341.22"
"25173","240214018-845","5456.31"
"25498","240331002-191","6019"
"25499","240331002-182","6019"
"25500","240331002-292","6019"
"25501","240331002-291","6019"
"25502","240331002-293","6019"
"32699","230910002-609","8019"
"34041","240305027-31","15500"
"34043","240305027-104","15500"
"34050","240305027-29","15500"
"34051","240305027-30","15500"
"34061","240305027-111","15500"
"34066","240305027-38","15500"
"34068","240305027-99","15500"
"34192","230410027-3","10919"
"37679","220618024-74","24755"
"37680","220618024-76","24755"
"37682","220618024-70","24755"
"38987","240317003-212","18500"
"41988","230919019-19","8666.67"
"42645","240317003-230","18500"
"42646","240317003-233","18500"
"42647","240317003-237","18500"
"42653","240317003-240","18500"
"42665","240317003-239","18500"
"42666","240317003-234","18500"
"42668","240317003-578","19000"
"42669","240317003-577","19000"
"42670","240317003-576","19000"
"42673","240317003-211","18500"
"43413","230820001-117","10780"
"43415","230430002-155","9009"
"43421","221015074-4","10000"
"43454","220621003-135","24755"
"43701","220621003-150","24755"
"44238","231009010-4","9680"
"44299","231113017-1","1"
"49090","240305027-212","15500"
"49102","240305027-213","15500"
"53128","230430010-1","15400"
"54155","230325020-78","12100"
"55553","220621003-167","24755"
"55564","220621003-143","24755"
"55565","220621003-139","24755"
"55935","231217002-1","18000"
"59084","231104002-35","18000"
"59817","231009013-1","9620"
"59845","230510024-1","5099"
"59854","230917109-2","16654"
"59862","230917105-2","16300"
"63404","230408043-411","5143"
